"total"	"ZUTA"	"AR-id"	"M-id"	"Ext. M-id"
"1"	1	1	0	0	0
"2"	3	2	0	0	0
"3"	6	4	1	1	1
"4"	16	8	1	1	1
"5"	27	16	1	1	1
"6"	62	34	3	3	3
"7"	111	71	4	4	4
"8"	225	146	9	9	9
"9"	395	287	14	15	15
"10"	716	528	21	23	23
"11"	1165	922	43	50	50
"12"	1880	1504	81	93	93
"13"	2726	2273	134	167	167
"14"	3829	3192	221	366	368
"15"	4890	4147	404	768	768
"16"	5963	4972	759	1430	1435
"17"	6599	5490	1299	2187	2204
"18"	6937	5519	1927	2861	2913
"19"	6599	5047	2385	3164	3273
"20"	5963	4191	2509	3037	3179
"21"	4890	3157	2231	2520	2656
"22"	3829	2139	1705	1833	1913
"23"	2726	1310	1128	1177	1215
"24"	1880	710	651	665	683
"25"	1165	343	328	331	344
"26"	716	153	151	151	155
"27"	395	64	64	64	65
"28"	225	22	22	22	22
"29"	111	7	7	7	7
"30"	62	1	1	1	1
">30"	54	0	0	0	0
"total"	64166	46260	16104	20951	21568
